#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"VpxClient","20","1143","660889600","159035392","211976192","122448","C:\Program Files (x86)\VMware\Infrastructure\Virtual Infrastructure Client\Launcher\VpxClient.exe","VMware, Inc.","37.5","6.0.0.7236","6.0.0.7236","VpxClient","vSphere Client","Process","8",,"False",,"4696","Microsoft.Win32.SafeHandles.SafeProcessHandle","1143","2632",".","134638","","System.Diagnostics.ProcessModule (VpxClient.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","122448","122448","211976192","211976192","909176","909176","272658432","272658432","281399296","281399296","756826112","756826112","True","Normal","211976192","211976192","00:00:09.9843750","VpxClient","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:25:06 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:37.5000000","00:00:27.5156250","660889600","660889600","False",,,,"159035392","159035392",,
"VpxClient","20","1165","654770176","138715136","186761216","122680","C:\Program Files (x86)\VMware\Infrastructure\Virtual Infrastructure Client\Launcher\VpxClient.exe","VMware, Inc.","59.53125","6.0.0.7236","6.0.0.7236","VpxClient","vSphere Client","Process","8",,"False",,"5052","Microsoft.Win32.SafeHandles.SafeProcessHandle","1165","14088",".","134360","","System.Diagnostics.ProcessModule (VpxClient.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","122680","122680","186761216","186761216","932880","932880","199049216","199049216","203046912","203046912","688422912","688422912","True","Normal","186761216","186761216","00:00:18.4843750","VpxClient","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:25:01 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:59.5312500","00:00:41.0468750","654770176","654770176","False",,,,"138715136","138715136",,
"WavesSvc64","20","113","63115264","6168576","1642496","8560","C:\Program Files\Waves\MaxxAudio\WavesSvc64.exe","Waves Audio Ltd.","0.078125","1.12.3.0","1.12.3.0","Waves MaxxAudio Service Application","Waves MaxxAudio","Process","8",,"False",,"3060","Microsoft.Win32.SafeHandles.SafeProcessHandle","113","10180",".","0","","System.Diagnostics.ProcessModule (WavesSvc64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8560","8560","1642496","1642496","122784","122784","1744896","1744896","7577600","7577600","66260992","66260992","True","Normal","1642496","1642496","00:00:00.0625000","WavesSvc64","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:08:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0156250","63115264","63115264","False",,,,"6168576","6168576",,
"WavesSysSvc64","0","103","36220928","1003520","2146304","8760",,,,,,,,"Process","8",,,,,,"103","4868",".","0","",,,,,"8760","8760","2146304","2146304","65816","65816","5623808","5623808","9609216","9609216","40660992","40660992",,,"2146304","2146304",,"WavesSysSvc64",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"36220928","36220928","False",,,,"1003520","1003520",,
"wdp","0","127","45084672","1773568","2359296","9616",,,,,,,,"Process","8",,,,,,"127","4840",".","0","",,,,,"9616","9616","2359296","2359296","76424","76424","2420736","2420736","8179712","8179712","50327552","50327552",,,"2359296","2359296",,"wdp",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"45084672","45084672","False",,,,"1773568","1773568",,
"wininit","0","182","2199081717760","2396160","2408448","10784",,,,,,,,"Process","13",,,,,,"182","696",".","0","",,,,,"10784","10784","2408448","2408448","130728","130728","2977792","2977792","7163904","7163904","63098880","2199086354432",,,"2408448","2408448",,"wininit",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"58462208","2199081717760","False",,,,"2396160","2396160",,
"winlogon","20","337","2199124848640","11382784","2953216","13296",,,,,,,,"Process","13",,,,,,"337","18812",".","0","",,,,,"13296","13296","2953216","2953216","223664","223664","3584000","3584000","29204480","29204480","122081280","2199145336832",,,"2953216","2953216",,"winlogon",,"True","20","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"101593088","2199124848640","False",,,,"11382784","11382784",,
"winpty-agent","20","134","74887168","5836800","2154496","8288","c:\Program Files (x86)\Microsoft VS Code\resources\app\node_modules.asar.unpacked\node-pty\build\Release\winpty-agent.exe",,"0.171875",,,,,"Process","8",,"False",,"3940","Microsoft.Win32.SafeHandles.SafeProcessHandle","134","5380",".","0","","System.Diagnostics.ProcessModule (winpty-agent.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8288","8288","2154496","2154496","151992","151992","2232320","2232320","6995968","6995968","78819328","78819328","True","Normal","2154496","2154496","00:00:00.1093750","winpty-agent","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:36:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.0625000","74887168","74887168","False",,,,"5836800","5836800",,
"winpty-agent","20","139","75489280","7114752","2191360","8424","c:\Program Files (x86)\Microsoft VS Code\resources\app\node_modules.asar.unpacked\node-pty\build\Release\winpty-agent.exe",,"0.078125",,,,,"Process","8",,"False",,"4396","Microsoft.Win32.SafeHandles.SafeProcessHandle","139","16944",".","0","","System.Diagnostics.ProcessModule (winpty-agent.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8424","8424","2191360","2191360","153184","153184","2199552","2199552","7118848","7118848","78110720","78110720","True","Normal","2191360","2191360","00:00:00.0312500","winpty-agent","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 8:53:06 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0468750","75489280","75489280","False",,,,"7114752","7114752",,
"winpty-agent","20","134","74887168","5779456","2035712","8288","c:\Program Files (x86)\Microsoft VS Code\resources\app\node_modules.asar.unpacked\node-pty\build\Release\winpty-agent.exe",,"0.234375",,,,,"Process","8",,"False",,"4900","Microsoft.Win32.SafeHandles.SafeProcessHandle","134","17936",".","0","","System.Diagnostics.ProcessModule (winpty-agent.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8288","8288","2035712","2035712","151992","151992","2187264","2187264","6909952","6909952","77508608","77508608","True","Normal","2035712","2035712","00:00:00.1093750","winpty-agent","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:36:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.1250000","74887168","74887168","False",,,,"5779456","5779456",,
"winpty-agent","20","132","75935744","7491584","2740224","8424","c:\Program Files (x86)\Microsoft VS Code\resources\app\node_modules.asar.unpacked\node-pty\build\Release\winpty-agent.exe",,"0.046875",,,,,"Process","8",,"False",,"4424","Microsoft.Win32.SafeHandles.SafeProcessHandle","132","20544",".","0","","System.Diagnostics.ProcessModule (winpty-agent.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8424","8424","2740224","2740224","151992","151992","2744320","2744320","7491584","7491584","77508608","77508608","True","Normal","2740224","2740224","00:00:00.0468750","winpty-agent","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 8:53:09 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00","75935744","75935744","False",,,,"7491584","7491584",,
"wlanext","0","413","2199137337344","5189632","5873664","20376",,,,,,,,"Process","8",,,,,,"413","3576",".","0","",,,,,"20376","20376","5873664","5873664","231016","231016","5984256","5984256","17612800","17612800","120483840","2199143739392",,,"5873664","5873664",,"wlanext",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"114081792","2199137337344","False",,,,"5189632","5189632",,
"WmiPrvSE","0","213","2199093395456","11083776","8642560","16016",,,,,,,,"Process","8",,,,,,"213","1008",".","0","",,,,,"16016","16016","8642560","8642560","125504","125504","9945088","9945088","18575360","18575360","109031424","2199132286976",,,"8642560","8642560",,"WmiPrvSE",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"70139904","2199093395456","False",,,,"11083776","11083776",,
"WmiPrvSE","0","1251","2199573983232","35160064","38305792","214872",,,,,,,,"Process","8",,,,,,"1251","6596",".","0","",,,,,"214872","214872","38305792","38305792","275248","275248","48078848","48078848","49668096","49668096","571355136","2199594610688",,,"38305792","38305792",,"WmiPrvSE",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"550727680","2199573983232","False",,,,"35160064","35160064",,
"WmiPrvSE","0","365","2199164686336","12128256","34258944","21712",,,,,,,,"Process","8",,,,,,"365","7184",".","0","",,,,,"21712","21712","34258944","34258944","203160","203160","42274816","42274816","50847744","50847744","180482048","2199203737600",,,"34258944","34258944",,"WmiPrvSE",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"141430784","2199164686336","False",,,,"12128256","12128256",,
"WmiPrvSE","0","215","2199095246848","10190848","6721536","13296",,,,,,,,"Process","8",,,,,,"215","8904",".","0","",,,,,"13296","13296","6721536","6721536","110816","110816","11497472","11497472","17584128","17584128","90361856","2199113617408",,,"6721536","6721536",,"WmiPrvSE",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"71991296","2199095246848","False",,,,"10190848","10190848",,
"WmiPrvSE","0","230","2199084527616","8163328","6914048","12960",,,,,,,,"Process","8",,,,,,"230","14864",".","0","",,,,,"12960","12960","6914048","6914048","109472","109472","11005952","11005952","18673664","18673664","93941760","2199117197312",,,"6914048","6914048",,"WmiPrvSE",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"61272064","2199084527616","False",,,,"8163328","8163328",,
"WmiPrvSE","0","166","2199063949312","4018176","3551232","9704",,,,,,,,"Process","8",,,,,,"166","15944",".","0","",,,,,"9704","9704","3551232","3551232","74384","74384","4206592","4206592","9527296","9527296","43913216","2199067168768",,,"3551232","3551232",,"WmiPrvSE",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"40693760","2199063949312","False",,,,"4018176","4018176",,
"WmiPrvSE","0","235","83083264","8245248","6438912","13896",,,,,,,,"Process","8",,,,,,"235","17192",".","0","",,,,,"13896","13896","6438912","6438912","102712","102712","8466432","8466432","15175680","15175680","101699584","101699584",,,"6438912","6438912",,"WmiPrvSE",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"83083264","83083264","False",,,,"8245248","8245248",,
"WUDFHost","0","343","2199104901120","5410816","26124288","15832",,,,,,,,"Process","13",,,,,,"343","2804",".","0","",,,,,"15832","15832","26124288","26124288","117568","117568","26247168","26247168","36835328","36835328","85839872","2199109095424",,,"26124288","26124288",,"WUDFHost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"81645568","2199104901120","False",,,,"5410816","5410816",,
"WUDFHost","0","259","2199075823616","1593344","2211840","10992",,,,,,,,"Process","8",,,,,,"259","3736",".","0","",,,,,"10992","10992","2211840","2211840","105952","105952","3641344","3641344","9031680","9031680","59179008","2199082434560",,,"2211840","2211840",,"WUDFHost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"52568064","2199075823616","False",,,,"1593344","1593344",,
"ZeroConfigService","0","326","130105344","26931200","9060352","19616",,,,,,,,"Process","8",,,,,,"326","4928",".","0","",,,,,"19616","19616","9060352","9060352","235176","235176","9568256","9568256","34062336","34062336","133611520","133611520",,,"9060352","9060352",,"ZeroConfigService",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"130105344","130105344","False",,,,"26931200","26931200",,
